bucket,sample_id,latency_ms,span_accuracy,label_consistency,labeled_precision,labeled_recall,labeled_f1,unlabeled_precision,unlabeled_recall,unlabeled_f1
train_clean,0,835.0194000013289,0.9785714285714285,0.7591240875912408,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.9785714285714285,0.9785714285714285,0.9785714285714285
train_clean,1,772.290000000794,1.0,0.42727272727272725,0.4051724137931034,0.42727272727272725,0.415929203539823,0.9482758620689655,1.0,0.9734513274336283
train_clean,2,749.2314999999508,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_clean,3,789.2660000015894,0.7854251012145749,0.7268041237113402,0.5826446280991735,0.5708502024291497,0.5766871165644171,0.8016528925619835,0.7854251012145749,0.7934560327198364
train_clean,4,737.5468999998702,1.0,0.8313253012048193,0.7666666666666667,0.8313253012048193,0.7976878612716763,0.9222222222222223,1.0,0.9595375722543353
train_clean,5,708.6560999996436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_clean,6,706.8504999988363,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
train_clean,7,720.8706000001257,1.0,0.6056338028169014,0.593103448275862,0.6056338028169014,0.5993031358885017,0.9793103448275862,1.0,0.9895470383275261
train_clean,8,733.5079999993468,1.0,0.6635514018691588,0.5338345864661654,0.6635514018691588,0.5916666666666667,0.8045112781954887,1.0,0.8916666666666667
train_clean,9,702.1445000009408,1.0,0.6259541984732825,0.5815602836879432,0.6259541984732825,0.6029411764705882,0.9290780141843972,1.0,0.963235294117647
test_clean,0,719.2424000004394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_clean,1,719.0797999992355,1.0,0.7083333333333334,0.5089820359281437,0.7083333333333334,0.5923344947735192,0.718562874251497,1.0,0.8362369337979094
test_clean,2,722.2576000003755,1.0,0.7745098039215687,0.7383177570093458,0.7745098039215687,0.7559808612440191,0.9532710280373832,1.0,0.9760765550239235
test_clean,3,728.2419000002847,1.0,0.654639175257732,0.5720720720720721,0.654639175257732,0.6105769230769231,0.8738738738738738,1.0,0.9326923076923077
test_clean,4,698.5831000001781,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_clean,5,679.2497999995248,1.0,0.7232704402515723,0.6149732620320856,0.7232704402515723,0.6647398843930636,0.8502673796791443,1.0,0.9190751445086706
test_clean,6,730.2990999996837,0.4607329842931937,0.6931818181818182,0.5398230088495575,0.3193717277486911,0.4013157894736841,0.7787610619469026,0.4607329842931937,0.5789473684210527
test_clean,7,709.1627000008884,0.9945054945054945,0.574585635359116,0.4581497797356828,0.5714285714285714,0.508557457212714,0.7973568281938326,0.9945054945054945,0.8850855745721271
test_clean,8,711.9287000004988,0.9117647058823529,0.3333333333333333,0.3163265306122449,0.30392156862745096,0.31,0.9489795918367347,0.9117647058823529,0.9300000000000002
test_clean,9,720.5872000013187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_noisy,0,750.0928000008571,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_noisy,1,781.5836999998282,1.0,0.7083333333333334,0.5089820359281437,0.7083333333333334,0.5923344947735192,0.718562874251497,1.0,0.8362369337979094
test_noisy,2,760.3497000000061,1.0,0.7745098039215687,0.7383177570093458,0.7745098039215687,0.7559808612440191,0.9532710280373832,1.0,0.9760765550239235
test_noisy,3,806.6487999985839,1.0,0.654639175257732,0.5720720720720721,0.654639175257732,0.6105769230769231,0.8738738738738738,1.0,0.9326923076923077
test_noisy,4,766.7427999986103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
test_noisy,5,716.3194000004296,1.0,0.7232704402515723,0.6149732620320856,0.7232704402515723,0.6647398843930636,0.8502673796791443,1.0,0.9190751445086706
test_noisy,6,734.5475000001898,0.9842931937172775,0.6329787234042553,0.5151515151515151,0.6230366492146597,0.5639810426540285,0.8138528138528138,0.9842931937172775,0.8909952606635072
test_noisy,7,705.1864999993995,1.0,0.5714285714285714,0.45614035087719296,0.5714285714285714,0.5073170731707317,0.7982456140350878,1.0,0.8878048780487805
test_noisy,8,708.9061999995465,0.7647058823529411,0.3076923076923077,0.2891566265060241,0.23529411764705882,0.2594594594594595,0.9397590361445783,0.7647058823529411,0.8432432432432432
