bucket,sample_id,latency_ms,cer,wer,word_accuracy,exact_match,layout_grounding_iou
clean,0,0.008899998647393659,0.0,0.0,1.0,True,1.0
clean,1,0.009699999282020144,0.0,0.0,1.0,True,1.0
clean,2,0.008299999535665847,0.0,0.0,1.0,True,1.0
clean,3,0.009299999874201603,0.0,0.0,1.0,True,1.0
clean,4,0.004699999408330768,0.0,0.0,1.0,True,1.0
clean,5,0.005699999746866524,0.0,0.0,1.0,True,1.0
clean,6,0.0068999997893115506,0.0,0.0,1.0,True,1.0
clean,7,0.009199999112752266,0.0,0.0,1.0,True,1.0
clean,8,0.005899999450775795,0.0,0.0,1.0,True,1.0
clean,9,0.0034000004234258085,0.0,0.0,1.0,True,1.0
noisy,0,0.08520000119460747,0.07063197026022305,0.11210762331838565,0.8878923766816144,False,1.0
noisy,1,0.062200000684242696,0.059880239520958084,0.15568862275449102,0.844311377245509,False,1.0
noisy,2,0.07139999979699496,0.06006006006006006,0.13551401869158877,0.8644859813084113,False,1.0
noisy,3,0.06269999903452117,0.04890895410082769,0.14414414414414414,0.8558558558558559,False,1.0
noisy,4,0.04509999962465372,0.06596701649175413,0.12037037037037036,0.8796296296296297,False,1.0
noisy,5,0.054099999033496715,0.07268170426065163,0.13368983957219252,0.8663101604278075,False,1.0
noisy,6,0.05919999966863543,0.04361132364192808,0.09401709401709402,0.905982905982906,False,1.0
noisy,7,0.07809999988239724,0.07319078947368421,0.13157894736842105,0.868421052631579,False,1.0
noisy,8,0.04160000025876798,0.06289308176100629,0.1206896551724138,0.8793103448275862,False,1.0
noisy,9,0.031600000511389226,0.0440251572327044,0.12857142857142856,0.8714285714285714,False,1.0
adversarial,0,0.06310000026132911,0.09516728624535316,0.19730941704035873,0.8026905829596412,False,1.0
adversarial,1,0.08609999895270448,0.08622754491017964,0.23353293413173654,0.7664670658682635,False,1.0
adversarial,2,0.07379999988188501,0.08483483483483484,0.21495327102803738,0.7850467289719626,False,1.0
adversarial,3,0.13080000098852906,0.09255079006772009,0.25675675675675674,0.7432432432432432,False,1.0
adversarial,4,0.04410000110510737,0.11094452773613193,0.23148148148148148,0.7685185185185185,False,1.0
adversarial,5,0.0760000002628658,0.0935672514619883,0.20320855614973263,0.7967914438502673,False,1.0
adversarial,6,0.08590000106778461,0.1063504208110176,0.20512820512820512,0.7948717948717948,False,1.0
adversarial,7,0.09580000005371403,0.1069078947368421,0.2324561403508772,0.7675438596491229,False,1.0
adversarial,8,0.047399998948094435,0.10377358490566038,0.19827586206896552,0.8017241379310345,False,1.0
adversarial,9,0.03819999983534217,0.0880503144654088,0.2,0.8,False,1.0
